,keywords
HSIC,henry schein inc provides health care products services dental practitioners laboratories physician practices ambulatory surgery centers government institutional health care clinics alternate care clinics worldwide operates two segments health care distribution technology valueadded services health care distribution segment offers dental products including infectioncontrol products handpieces preventatives impression materials composites anesthetics teeth dental implants gypsum acrylics articulators abrasives dental chairs delivery units lights xray supplies equipment personal protective equipment hightech digital restoration equipment well equipment repair services segment also provides medical products branded generic pharmaceuticals vaccines surgical products diagnostic tests infectioncontrol products xray products equipment vitamins technology valueadded services segment offers software technology valueadded services include practice management software systems dental medical practitioners valueadded practice solutions comprising practice consultancy education revenue cycle management financial services eservices practice technology network hardware services well consulting continuing education services henry schein inc founded 1932 headquartered melville new york
TFX,teleflex incorporated designs develops manufactures supplies singleuse medical devices common diagnostic therapeutic procedures critical care surgical applications worldwide company provides vascular access products comprise arrow branded catheters catheter navigation tip positioning systems intraosseous access systems administration intravenous therapies measurement blood pressure withdrawal blood samples single puncture site also offers interventional products consists various coronary catheters structural heart support devices peripheral intervention mechanical circulatory support platform used interventional cardiologists radiologists vascular surgeons arrow branded pumps catheters guideline turnpike trapliner catheters manta vascular closure arrow oncontrol devices company provides anesthesia products airway pain management products support hospital emergency medicine military channels surgical products including metal polymer ligation clips fascial closure surgical systems used laparoscopic surgical procedures percutaneous surgical systems surgical instruments also offers interventional urology products comprising urolift system invasive technology treating lower urinary tract symptoms due benign prostatic hyperplasia respiratory products including oxygen aerosol therapies spirometry ventilation management products use various care settings urology products catheters urine collectors catheterization accessories products operative endourology bladder management services company serves hospitals healthcare providers medical device manufacturers home care markets teleflex incorporated incorporated 1943 headquartered wayne pennsylvania
CHE,chemed corporation provides hospice palliative care services patients network physicians registered nurses home health aides social workers clergy volunteers primarily united states company operates vitas rotorooter segments offers plumbing drain cleaning excavation water restoration related services residential commercial customers companyowned branches independent contractors franchisees company incorporated 1970 headquartered cincinnati ohio
DVA,davita inc provides kidney dialysis services patients suffering chronic kidney failure united states company operates kidney dialysis centers provides related lab services outpatient dialysis centers also offers outpatient hospital inpatient homebased hemodialysis services operates clinical laboratories provide routine laboratory tests dialysis physicianprescribed laboratory tests esrd patients management administrative services outpatient dialysis centers addition company offers integrated care disease management services patients riskbased integrated care arrangements clinical research programs physician services comprehensive kidney care services engages provision acute inpatient dialysis services related laboratory services transplant software business company formerly known davita healthcare partners inc changed name davita inc september 2016 davita inc incorporated 1994 headquartered denver colorado
RGEN,repligen corporation develops commercializes bioprocessing technologies systems use biological drug manufacturing process north america europe asia pacific internationally offers protein ligands binding components protein affinity chromatography resins cell culture growth factor products companys chromatography products include opus prepacked chromatography columns used purification biologics opus smallerscale columns used high throughput process development screening viral clearance validation studies scale validation chromatography processes also offers elisa test kits chromatography resins captiva brand addition company provides filtration products xcell alternating tangential flow systems filtration devices used upstream perfusion cell culture processing tangenx flat sheet cassettes used downstream biologic drug concentration buffer exchange formulation processes krosflo tangential flow filtration tangential flow depth filtration systems spectrapor laboratory process dialysis products proconnex tfdf flow paths provides process analytics products slope spectroscopy systems solovpe flowvpe flowvpx brands company sells products life sciences biopharmaceutical diagnostics companies laboratory researchers contract manufacturing organizations repligen corporation collaboration agreements navigo proteins gmbh develop multiple affinity ligands company incorporated 1981 headquartered waltham massachusetts
JAZZ,jazz pharmaceuticals plc identifies develops commercializes pharmaceutical products unmet medical needs united states europe internationally company offers xywav cataplexy excessive daytime sleepiness eds narcolepsy idiopathic hypersomnia xyrem treat cataplexy eds narcolepsy epidiolex seizures associated lennoxgastaut dravet syndromes tuberous sclerosis complex zepzelca treat metastatic small cell lung cancer disease progression platinumbased chemotherapy rylaze acute lymphoblastic leukemia lymphoblastic lymphoma enrylaze treat acute lymphoblastic leukemia lymphoblastic lymphoma defitelio treat severe hepatic venoocclusive disease vyxeos newlydiagnosed therapyrelated acute myeloid leukemia also develops zanidatamab treat her2expressing gastroesophageal adenocarcinoma gea patients her2expressing metastatic gea zepzelca treatment patients select relapsedrefractory solid tumors based limited response three solid tumor cohorts jzp815 panraf kinase inhibitor targets components mitogenactivated protein kinase jzp898 conditionallyactivated interferon alpha molecule epidiolex treat lgs ds tsc suvecaltamide treat parkinsons disease tremor jzp150 fatty acid amide hydrolase inhibitor program treat posttraumatic stress disorder jzp441 treat narcolepsy ih sleep disorders company licensing collaboration agreements xlprotein gmbh extend plasma halflife selected asparaginase product candidates redx pharma plc preclinical activities rasrafmap kinase pathway program autifony therapeutics limited discovering developing drug candidates targeting two different ion channel targets associated neurological disorders company incorporated 2003 headquartered dublin ireland
MASI,masimo corporation develops manufactures markets various patient monitoring technologies automation connectivity solutions worldwide company offers masimo signal extraction technology set pulse oximetry measurethrough motion low perfusion pulse oximetry monitoring address primary limitations conventional pulse oximetry masimo rainbow set platform including rainbow set pulse cooximetry products allows noninvasive monitoring carboxyhemoglobin methemoglobin hemoglobin concentration fractional arterial oxygen saturation oxygen content pleth variability index rainbow pleth variability index respiration rate pleth oxygen reserve index well acoustic respiration monitoring sedline brain function monitoring nomoline capnography gas monitoring regional oximetry also provides brain function hemodynamic monitoring solutions patient position activity tracking neuromodulation technology solutions masimo hospital automation platform including hospital automation solutions including patient safetynet patient safetynet surveillance safetynet replica iris myview uniview uniview 60 masimo sleep centroid bridg nasal highflow ventilation neuromodulation therapeutics telehealth solutions addition company provides products direct sales force distributors original equipment manufacturers partners hospitals emergency medical service home care providers longterm care facilities physician offices veterinarians consumers home wellness products ecommerce internet sites masimopersonalhealthcom amazoncom shopifycom masimo corporation incorporated 1989 headquartered irvine california
BRKR,bruker corporation together subsidiaries develops manufactures distributes scientific instruments analytical diagnostic solutions united states europe asia pacific internationally company operates four segments bruker scientific instruments bsi biospin bsi calid bsi nano bruker energy supercon technologies offers life science tools single multiple modality systems life science mass spectrometry maldi biotyper rapid pathogen identification platform related test kits dna test strips fluorescencebased polymerase chain reaction technology genotype fluorotype molecular diagnostics kits research analytical process analysis instruments solutions sarscov 2 testing diagnosis covid19 infection fluorotypersarscov 2 plus kits also provides range portable analytical bioanalytical detection systems related products xray instruments analytical tools electron microscopes well handheld portable mobile xray fluorescence spectrometry instruments atomic force microscopy instrumentation noncontact nanometer resolution solution topography automated xray metrology automated afm defectdetection photomask repair cleaning equipment addition company offers advanced optical fluorescence microscopy instruments products services support multiomics needs researchers translational research drug biomarker discovery superconducting materials metallic low temperature superconductors devices complex tools based metallic low temperature superconductors nonsuperconducting high technology tools synchrotron beamline instrumentation company incorporated 1991 headquartered billerica massachusetts
BIO,biorad laboratories inc manufactures distributes life science research clinical diagnostic products united states europe asia canada latin america operates two segments life science clinical diagnostics company develops manufactures markets instruments systems reagents consumables separate purify characterize quantitate biological materials cells proteins nucleic acids proteomics genomics biopharmaceutical production cellular biology food safety markets also designs manufactures markets supports test systems informatics systems test kits specialized quality controls hospitals diagnostic reference transfusion physician office laboratories company offers products direct sales force well distributors agents brokers resellers biorad laboratories inc founded 1952 headquartered hercules california
IONS,ionis pharmaceuticals inc discovers develops rnatargeted therapeutics united states company offers spinraza spinal muscular atrophy sma pediatric adult patients tegsedi antisense injection treatment polyneuropathy caused hereditary transthyretin amyloidosis adults waylivra antisense medicine treatment familial chylomicronemia syndrome fcs familial partial lipodystrophy also develops medicines various indications phase 3 study including eplontersen monthly selfadministered subcutaneous injection treat types attr olezarsen patients fcs severe hypertriglyceridemia shtg donidalorsen patients hereditary angioedema ion363 patients amyotrophic lateral sclerosis tofersen inhibit production superoxide dismutase 1 pelacarsen patients established cardiovascular disease elevated lipoproteina bepirovirsen inhibit production viral proteins associated hepatitis b virus addition company develops ionisfblrx inhibit production complement factor b alternative complement pathway ion224 reduce production diacylglycerol acyltransferase 2 strategic collaboration biogen treatment neurological disorders collaboration license agreement metagenomi inc astrazeneca bayer ag glaxosmithkline plc novartis roche swedish orphan biovitrum ab ptc therapeutics company incorporated 1989 based carlsbad california
XRAY,dentsply sirona inc manufactures sells various dental products technologies worldwide operates four segments connected technology solutions essential dental solutions orthodontic implant solutions wellspect healthcare company offers dental equipment comprising imaging equipment motorized dental handpieces treatment centers instruments amalgamators mixing machines porcelain furnaces dental cadcam technologies support dental restorations intraoral scanners 3d printers mills software services fullchairside economical restoration esthetic ceramic dentistry well ds core cloudbased platform also provides endodontic products consisting motorized endodontic handpieces files sealers irrigation needles tools support root canal procedures restorative products including dental ceramics crowns veneers preventative products curing light systems dental diagnostic systems ultrasonic scalers polishers well dental anesthetics prophylaxis paste dental sealants impression materials addition company offers suresmile byte aligner solutions vprohyperbyte highfrequency vibration technology device suresmile simulator creates 3d visualization patients outcome byte plus treatment planning provides dental implants digital dentures crown bridge porcelain products bone regenerative restorative solutions treatment planning software educational programs dental prosthetics urology catheters healthrelated consumables company serves professional dental consumable medical device markets thirdparty distributors company formerly known dentsply international inc changed name dentsply sirona inc february 2016 dentsply sirona inc founded 1877 headquartered charlotte north carolina
PRGO,perrigo company plc provides overthecounter health wellness solutions enhance individual wellbeing united states europe internationally operates consumer selfcare americas consumer selfcare international segments company develops manufactures markets distributes selfcare consumer products upper respiratory products including cough suppressants expectorants sinus allergy relief nutrition products consisting infant formulas nutritional beverages digestive health products including antacids antidiarrheal antiheartburn pain sleepaids products comprising pain relievers fever reducers oral care products include toothbrushes toothbrush replacement heads floss flossers whitening products toothbrush covers also offers healthy lifestyle products smoking cessation wellbeing weight management products skin care products consisting dermatological care scar management lice treatment products various skin conditions womens health products comprising feminine hygiene contraceptives vitamins minerals supplements rare diseases business miscellaneous selfcare products company sells products compeed dr fresh firefly good sense good start mederma nasonex plackers prevacid24hr reach rembrandt steripod opill solpadeine coldrex physiomer niquitin aco ellaone compeed stops xls arterin davitamon apiserum abtei nicorette brands also offers contract manufacturing services company sells products retail drug supermarket mass merchandise chains ecommerce stores wholesalers pharmacies drug grocery retailers parapharmacies company formerly known perrigo company changed name perrigo company plc december 2013 perrigo company plc founded 1887 headquartered dublin ireland
ACHC,acadia healthcare company inc provides behavioral healthcare services united states puerto rico company develops operates acute inpatient psychiatric facilities specialty treatment facilities comprising residential recovery facilities eating disorder facilities comprehensive treatment centers residential treatment centers well facilities offering outpatient behavioral healthcare services behavioral healthcare recovery needs communities acadia healthcare company inc founded 2005 headquartered franklin tennessee
AMED,amedisys inc together subsidiaries provides healthcare services united states operates three segments home health hospice high acuity care home health segment offers range services homes individuals recovery patients surgery chronic disability terminal illness well prevents avoidable hospital readmissions skilled nurses nursing services rehabilitation therapists specialized physical speech occupational therapy social workers aides assisting patients hospice segment offers services designed provide comfort support dealing terminal illness including cancer heart disease pulmonary disease alzheimers high acuity care offers essential elements inpatient hospital skilled nursing facility care palliative care patients homes amedisys inc incorporated 1982 headquartered baton rouge louisiana
AZTA,azenta inc provides biological chemical compound sample exploration management solutions life sciences market united states africa china united kingdom rest europe asia pacific internationally company operates three reportable segments sample management solutions multiomics b medical systems sample management solutions segment provides sample management products solutions including automated stores cryogenic systems automated sample tubes consumables instruments controlled rate thawing devices well sample repository services segment also offers consultation services clients throughout experimental design implementation processes multiomics segment provides genomic sample analysis services comprising gene sequencing synthesis editing related services b medical systems segment manufactures distributes temperaturecontrolled storage transportation solutions governments health institutions nongovernment organizations company formerly known brooks automation inc changed name azenta inc december 2021 azenta inc founded 1978 headquartered burlington massachusetts
QDEL,quidelortho corporation provides diagnostic testing solutions company operates labs transfusion medicine pointofcare molecular diagnostics business units labs business unit provides clinical chemistry laboratory instruments tests measure target chemicals bodily fluids evaluation health clinical management patients immunoassay laboratory instruments tests measure proteins act antigens spread disease antibodies immune response spurred disease markers proper organ function health testing products detect monitor disease progression across spectrum therapeutic areas specialized diagnostic solutions transfusion medicine business unit offers immunohematology instruments tests used blood typing ensure patientdonor compatibility blood transfusions donor screening instruments tests used blood plasma screening infectious diseases pointofcare business unit provides instruments tests provide rapid results across continuum pointofcare settings molecular diagnostics business unit offers polymerase chain reaction thermocyclers amplification systems sampletoresult molecular instruments tests syndromic infectious disease diagnostics company sells products directly end users direct sales force network distributors professional use physician offices hospitals clinical laboratories reference laboratories urgent care clinics universities retail clinics pharmacies wellness screening centers blood banks donor centers well individual nonprofessional overthecounter use operates north america europe middle east africa china internationally company incorporated 1979 headquartered san diego california
PINC,premier inc together subsidiaries operates healthcare improvement company united states operates two segments supply chain services performance services supply chain services segment offers members access range products services including medical surgical products pharmaceuticals laboratory supplies capital equipment information technology facilities construction food nutritional products well purchased services clinical engineering workforce solutions segment also provides ascendrive programs members receive group purchasing programs tiers prices surpass performance group services coordinate purchasing decisions review utilization achieve maintain standardization across members facilities saas informatics products purchase additional elements supply chain comanagement services purchased services contracts direct sourcing solutions supply chain resiliency programs performance services segment provides technology services platform offerings help optimize performance three main areas including clinical intelligence margin improvement valuebased care pinc ai brand third party administrator services management health benefit programs contigo health brand digital invoicing payables services offers financial support services healthcare product suppliers service providers remitra brand company incorporated 2013 headquartered charlotte north carolina
